Token,Frequency,Type
pattern,91,Human_Study
completion,78,Human_Study
memory,49,Human_Study
partial,41,Human_Study
retrieval,38,Human_Study
cue,37,Human_Study
process,28,Human_Study
representation,25,Human_Study
degraded,22,Human_Study
event,20,Human_Study
information,17,Human_Study
element,17,Human_Study
hippocampus,15,Human_Study
input,14,Human_Study
stored,13,Human_Study
ca3,13,Human_Study
based,13,Human_Study
hippocampal,11,Human_Study
reinstatement,10,Human_Study
complete,10,Human_Study
when,10,Human_Study
neural,9,Human_Study
all,9,Human_Study
mechanism,9,Human_Study
incomplete,8,Human_Study
through,8,Human_Study
one,8,Human_Study
previously,7,Human_Study
item,7,Human_Study
trace,7,Human_Study
experience,7,Human_Study
episodic,7,Human_Study
reactivation,7,Human_Study
function,6,Human_Study
similar,6,Human_Study
ability,6,Human_Study
thought,6,Human_Study
retrieved,6,Human_Study
termed,5,Human_Study
via,5,Human_Study
known,5,Human_Study
network,5,Human_Study
allows,5,Human_Study
entire,5,Human_Study
mnemonic,5,Human_Study
model,5,Human_Study
associative,5,Human_Study
only,5,Human_Study
noisy,5,Human_Study
et,5,Human_Study
pattern,72,Rodent_Study
completion,45,Rodent_Study
memory,45,Rodent_Study
input,25,Rodent_Study
partial,24,Rodent_Study
cue,20,Rodent_Study
ability,18,Rodent_Study
retrieve,18,Rodent_Study
degraded,18,Rodent_Study
network,17,Rodent_Study
ca3,17,Rodent_Study
representation,17,Rodent_Study
recall,16,Rodent_Study
process,14,Rodent_Study
information,13,Rodent_Study
recurrent,10,Rodent_Study
stored,10,Rodent_Study
when,10,Rodent_Study
hippocampus,10,Rodent_Study
retrieval,9,Rodent_Study
ie,7,Rodent_Study
stimulus,7,Rodent_Study
autoassociative,7,Rodent_Study
feature,7,Rodent_Study
activity,6,Rodent_Study
entire,6,Rodent_Study
incomplete,6,Rodent_Study
full,5,Rodent_Study
based,5,Rodent_Study
collateral,5,Rodent_Study
subset,5,Rodent_Study
original,5,Rodent_Study
sensory,5,Rodent_Study
marr,5,Rodent_Study
noisy,5,Rodent_Study
associative,5,Rodent_Study
contextual,4,Rodent_Study
content,4,Rodent_Study
complete,4,Rodent_Study
presented,4,Rodent_Study
retrieving,4,Rodent_Study
computational,4,Rodent_Study
similar,4,Rodent_Study
role,4,Rodent_Study
suggest,4,Rodent_Study
neural,4,Rodent_Study
1971,4,Rodent_Study
ha,3,Rodent_Study
been,3,Rodent_Study
place,3,Rodent_Study
