Cluster,Token
2,pattern
2,representation
2,hippocampus
2,input
2,hippocampal
2,neural
2,mechanism
2,episodic
2,function
2,termed
2,network
2,mnemonic
2,model
2,associative
2,pattern
2,input
2,network
2,representation
2,recurrent
2,hippocampus
2,stimulus
2,autoassociative
2,feature
2,activity
2,sensory
2,associative
2,contextual
2,computational
2,neural
0,completion
0,partial
0,complete
0,incomplete
0,via
0,completion
0,partial
0,incomplete
0,collateral
0,complete
0,suggest
1,memory
1,retrieval
1,information
1,stored
1,reinstatement
1,reactivation
1,retrieved
1,memory
1,retrieve
1,recall
1,information
1,stored
1,retrieval
1,ie
1,subset
1,content
1,retrieving
1,place
3,cue
3,degraded
3,based
3,when
3,previously
3,experience
3,similar
3,ability
3,thought
3,known
3,noisy
3,cue
3,ability
3,degraded
3,when
3,based
3,original
3,noisy
3,presented
3,similar
3,1971
3,ha
3,been
4,process
4,event
4,element
4,ca3
4,all
4,through
4,one
4,item
4,trace
4,allows
4,entire
4,only
4,et
4,ca3
4,process
4,entire
4,full
4,marr
4,role
